,ATC,ATC_info,ATC_hierarchy,used_in_diabetes,is_terminal_category,number_of_children
1680,C02KX03,Sitaxentan,"['C02KX03', 'C02KX', 'C02K', 'C02', 'C']",False,1,1
1681,C02KX02,Ambrisentan,"['C02KX02', 'C02KX', 'C02K', 'C02', 'C']",False,1,1
1682,C02KX01,Bosentan,"['C02KX01', 'C02KX', 'C02K', 'C02', 'C']",False,1,1
1683,C02KD,Serotonin antagonists,"['C02KD', 'C02K', 'C02', 'C']",False,2,2
1684,C02KD01,Ketanserin,"['C02KD01', 'C02KD', 'C02K', 'C02', 'C']",False,1,1
1685,C02KC,Mao inhibitors,"['C02KC', 'C02K', 'C02', 'C']",False,2,2
1686,C02KC01,Pargyline,"['C02KC01', 'C02KC', 'C02K', 'C02', 'C']",False,1,1
1687,C02KB,Tyrosine hydroxylase inhibitors,"['C02KB', 'C02K', 'C02', 'C']",False,2,2
1688,C02KB01,Metirosine,"['C02KB01', 'C02KB', 'C02K', 'C02', 'C']",False,1,1
1689,C02KA,"Alkaloids, excl. rauwolfia","['C02KA', 'C02K', 'C02', 'C']",False,2,2
1690,C02KA01,Veratrum,"['C02KA01', 'C02KA', 'C02K', 'C02', 'C']",False,1,1
1691,C02D,"Arteriolar smooth muscle, agents acting on","['C02D', 'C02', 'C']",False,14,14
1692,C02DG,Guanidine derivatives,"['C02DG', 'C02D', 'C02', 'C']",False,2,2
1693,C02DG01,Pinacidil,"['C02DG01', 'C02DG', 'C02D', 'C02', 'C']",False,1,1
1694,C02DD,Nitroferricyanide derivatives,"['C02DD', 'C02D', 'C02', 'C']",False,2,2
1695,C02DD01,Nitroprusside,"['C02DD01', 'C02DD', 'C02D', 'C02', 'C']",False,1,1
1696,C02DC,Pyrimidine derivatives,"['C02DC', 'C02D', 'C02', 'C']",False,2,2
1697,C02DC01,Minoxidil,"['C02DC01', 'C02DC', 'C02D', 'C02', 'C']",False,1,1
1698,C02DB,Hydrazinophthalazine derivatives,"['C02DB', 'C02D', 'C02', 'C']",False,5,5
1699,C02DB04,Cadralazine,"['C02DB04', 'C02DB', 'C02D', 'C02', 'C']",False,1,1
1700,C02DB03,Endralazine,"['C02DB03', 'C02DB', 'C02D', 'C02', 'C']",False,1,1
1701,C02DB02,Hydralazine,"['C02DB02', 'C02DB', 'C02D', 'C02', 'C']",False,1,1
1702,C02DB01,Dihydralazine,"['C02DB01', 'C02DB', 'C02D', 'C02', 'C']",False,1,1
1703,C02DA,Thiazide derivatives,"['C02DA', 'C02D', 'C02', 'C']",False,2,2
1704,C02DA01,Diazoxide,"['C02DA01', 'C02DA', 'C02D', 'C02', 'C']",False,1,1
1705,C02C,"Antiadrenergic agents, peripherally acting","['C02C', 'C02', 'C']",False,15,15
1706,C02CC,Guanidine derivatives,"['C02CC', 'C02C', 'C02', 'C']",False,8,8
1707,C02CC07,Guanoxabenz,"['C02CC07', 'C02CC', 'C02C', 'C02', 'C']",False,1,1
1708,C02CC06,Guanazodine,"['C02CC06', 'C02CC', 'C02C', 'C02', 'C']",False,1,1
1709,C02CC05,Guanoclor,"['C02CC05', 'C02CC', 'C02C', 'C02', 'C']",False,1,1
1710,C02CC04,Debrisoquine,"['C02CC04', 'C02CC', 'C02C', 'C02', 'C']",False,1,1
1711,C02CC03,Guanoxan,"['C02CC03', 'C02CC', 'C02C', 'C02', 'C']",False,1,1
1712,C02CC02,Guanethidine,"['C02CC02', 'C02CC', 'C02C', 'C02', 'C']",False,1,1
1713,C02CC01,Betanidine,"['C02CC01', 'C02CC', 'C02C', 'C02', 'C']",False,1,1
1714,C02CA,Alpha-adrenoreceptor antagonists,"['C02CA', 'C02C', 'C02', 'C']",False,6,6
1715,C02CA06,Urapidil,"['C02CA06', 'C02CA', 'C02C', 'C02', 'C']",False,1,1
1716,C02CA04,Doxazosin,"['C02CA04', 'C02CA', 'C02C', 'C02', 'C']",False,1,1
1717,C02CA03,Trimazosin,"['C02CA03', 'C02CA', 'C02C', 'C02', 'C']",False,1,1
1718,C02CA02,Indoramin,"['C02CA02', 'C02CA', 'C02C', 'C02', 'C']",False,1,1
1719,C02CA01,Prazosin,"['C02CA01', 'C02CA', 'C02C', 'C02', 'C']",False,1,1
1720,C02B,"Antiadrenergic agents, ganglion-blocking","['C02B', 'C02', 'C']",False,6,6
1721,C02BC,Bisquaternary ammonium compounds,"['C02BC', 'C02B', 'C02', 'C']",False,1,1
1722,C02BB,Secondary and tertiary amines,"['C02BB', 'C02B', 'C02', 'C']",False,2,2
1723,C02BB01,Mecamylamine,"['C02BB01', 'C02BB', 'C02B', 'C02', 'C']",False,1,1
1724,C02BA,Sulfonium derivatives,"['C02BA', 'C02B', 'C02', 'C']",False,2,2
1725,C02BA01,Trimetaphan,"['C02BA01', 'C02BA', 'C02B', 'C02', 'C']",False,1,1
1726,C02A,"Antiadrenergic agents, centrally acting","['C02A', 'C02', 'C']",False,21,21
1727,C02AC,Imidazoline receptor agonists,"['C02AC', 'C02A', 'C02', 'C']",False,6,6
1728,C02AC06,Rilmenidine,"['C02AC06', 'C02AC', 'C02A', 'C02', 'C']",False,1,1
1729,C02AC05,Moxonidine,"['C02AC05', 'C02AC', 'C02A', 'C02', 'C']",False,1,1
1730,C02AC04,Tolonidine,"['C02AC04', 'C02AC', 'C02A', 'C02', 'C']",False,1,1
1731,C02AC02,Guanfacine,"['C02AC02', 'C02AC', 'C02A', 'C02', 'C']",False,1,1
1732,C02AC01,Clonidine,"['C02AC01', 'C02AC', 'C02A', 'C02', 'C']",False,1,1
1733,C02AB,Methyldopa,"['C02AB', 'C02A', 'C02', 'C']",False,3,3
1734,C02AB02,Methyldopa (racemic),"['C02AB02', 'C02AB', 'C02A', 'C02', 'C']",False,1,1
1735,C02AB01,Methyldopa (levorotatory),"['C02AB01', 'C02AB', 'C02A', 'C02', 'C']",False,1,1
1736,C02AA,Rauwolfia alkaloids,"['C02AA', 'C02A', 'C02', 'C']",False,11,11
1737,C02AA57,"Bietaserpine, combinations","['C02AA57', 'C02AA', 'C02A', 'C02', 'C']",False,1,1
1738,C02AA53,"Combinations of rauwolfia alkoloids, combinations","['C02AA53', 'C02AA', 'C02A', 'C02', 'C']",False,1,1
1739,C02AA52,"Reserpine, combinations","['C02AA52', 'C02AA', 'C02A', 'C02', 'C']",False,1,1
1740,C02AA07,Bietaserpine,"['C02AA07', 'C02AA', 'C02A', 'C02', 'C']",False,1,1
1741,C02AA06,Methoserpidine,"['C02AA06', 'C02AA', 'C02A', 'C02', 'C']",False,1,1
1742,C02AA05,Deserpidine,"['C02AA05', 'C02AA', 'C02A', 'C02', 'C']",False,1,1
1743,C02AA04,"Rauwolfia alkaloids, whole root","['C02AA04', 'C02AA', 'C02A', 'C02', 'C']",False,1,1
1744,C02AA03,Combinations of rauwolfia alkaloids,"['C02AA03', 'C02AA', 'C02A', 'C02', 'C']",False,1,1
1745,C02AA02,Reserpine,"['C02AA02', 'C02AA', 'C02A', 'C02', 'C']",False,1,1
1746,C02AA01,Rescinnamine,"['C02AA01', 'C02AA', 'C02A', 'C02', 'C']",False,1,1
1747,C01,Cardiac therapy,"['C01', 'C']",False,255,255
1748,C01E,Other cardiac preparations,"['C01E', 'C01', 'C']",False,23,23
1749,C01EX,Other cardiac combination products,"['C01EX', 'C01E', 'C01', 'C']",False,1,1
1750,C01EB,Other cardiac preparations,"['C01EB', 'C01E', 'C01', 'C']",False,19,19
1751,C01EB24,Mavacamten,"['C01EB24', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1752,C01EB23,Tiazotic acid,"['C01EB23', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1753,C01EB22,Meldonium,"['C01EB22', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1754,C01EB21,Regadenoson,"['C01EB21', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1755,C01EB18,Ranolazine,"['C01EB18', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1756,C01EB17,Ivabradine,"['C01EB17', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1757,C01EB16,Ibuprofen,"['C01EB16', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1758,C01EB15,Trimetazidine,"['C01EB15', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1759,C01EB13,Acadesine,"['C01EB13', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1760,C01EB11,Tiracizine,"['C01EB11', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1761,C01EB10,Adenosine,"['C01EB10', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1762,C01EB09,Ubidecarenone,"['C01EB09', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1763,C01EB07,"Fructose 1,6-diphosphate","['C01EB07', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1764,C01EB06,Fosfocreatine,"['C01EB06', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1765,C01EB05,Creatinolfosfate,"['C01EB05', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1766,C01EB04,Crataegus glycosides,"['C01EB04', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1767,C01EB03,Indometacin,"['C01EB03', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1768,C01EB02,Camphora,"['C01EB02', 'C01EB', 'C01E', 'C01', 'C']",False,1,1
1769,C01EA,Prostaglandins,"['C01EA', 'C01E', 'C01', 'C']",False,2,2
1770,C01EA01,Alprostadil,"['C01EA01', 'C01EA', 'C01E', 'C01', 'C']",False,1,1
1771,C01D,Vasodilators used in cardiac diseases,"['C01D', 'C01', 'C']",False,47,47
1772,C01DX,Other vasodilators used in cardiac diseases,"['C01DX', 'C01D', 'C01', 'C']",False,25,25
1773,C01DX22,Vericiguat,"['C01DX22', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1774,C01DX54,"Benziodarone, combinations","['C01DX54', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1775,C01DX53,"Oxyfedrine, combinations","['C01DX53', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1776,C01DX52,"Prenylamine, combinations","['C01DX52', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1777,C01DX51,"Itramin tosilate, combinations","['C01DX51', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1778,C01DX21,Serelaxin,"['C01DX21', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1779,C01DX19,Nesiritide,"['C01DX19', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1780,C01DX18,Linsidomine,"['C01DX18', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1781,C01DX16,Nicorandil,"['C01DX16', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1782,C01DX15,Cloridarol,"['C01DX15', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1783,C01DX14,Cinepazet,"['C01DX14', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1784,C01DX13,Efloxate,"['C01DX13', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1785,C01DX12,Molsidomine,"['C01DX12', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1786,C01DX11,Trapidil,"['C01DX11', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1787,C01DX10,Dilazep,"['C01DX10', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1788,C01DX09,Imolamine,"['C01DX09', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1789,C01DX08,Heptaminol,"['C01DX08', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1790,C01DX07,Etafenone,"['C01DX07', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1791,C01DX06,Hexobendine,"['C01DX06', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1792,C01DX05,Carbocromen,"['C01DX05', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1793,C01DX04,Benziodarone,"['C01DX04', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1794,C01DX03,Oxyfedrine,"['C01DX03', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1795,C01DX02,Prenylamine,"['C01DX02', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1796,C01DX01,Itramin tosilate,"['C01DX01', 'C01DX', 'C01D', 'C01', 'C']",False,1,1
1797,C01DB,Quinolone vasodilators,"['C01DB', 'C01D', 'C01', 'C']",False,2,2
1798,C01DB01,Flosequinan,"['C01DB01', 'C01DB', 'C01D', 'C01', 'C']",False,1,1
1799,C01DA,Organic nitrates,"['C01DA', 'C01D', 'C01', 'C']",False,19,19
1800,C01DA70,Organic nitrates in combination with psycholeptics,"['C01DA70', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1801,C01DA63,"Eritrityl tetranitrate, combinations","['C01DA63', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1802,C01DA59,"Trolnitrate, combinations","['C01DA59', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1803,C01DA58,"Isosorbide dinitrate, combinations","['C01DA58', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1804,C01DA57,"Propatylnitrate, combinations","['C01DA57', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1805,C01DA55,"Pentaerithrityl tetranitrate, combinations","['C01DA55', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1806,C01DA54,"Methylpropylpropanediol dinitrate, combinations","['C01DA54', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1807,C01DA52,"Glyceryl trinitrate, combinations","['C01DA52', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1808,C01DA38,Tenitramine,"['C01DA38', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1809,C01DA20,Organic nitrates in combination,"['C01DA20', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1810,C01DA14,Isosorbide mononitrate,"['C01DA14', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1811,C01DA13,Eritrityl tetranitrate,"['C01DA13', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1812,C01DA09,Trolnitrate,"['C01DA09', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1813,C01DA08,Isosorbide dinitrate,"['C01DA08', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1814,C01DA07,Propatylnitrate,"['C01DA07', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1815,C01DA05,Pentaerithrityl tetranitrate,"['C01DA05', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1816,C01DA04,Methylpropylpropanediol dinitrate,"['C01DA04', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1817,C01DA02,Glyceryl trinitrate,"['C01DA02', 'C01DA', 'C01D', 'C01', 'C']",False,1,1
1818,C01C,Cardiac stimulants excl. cardiac glycosides,"['C01C', 'C01', 'C']",False,42,42
1819,C01CX,Other cardiac stimulants,"['C01CX', 'C01C', 'C01', 'C']",False,6,6
1820,C01CX10,Omecamtiv mecarbil,"['C01CX10', 'C01CX', 'C01C', 'C01', 'C']",False,1,1
1821,C01CX09,Angiotensin ii,"['C01CX09', 'C01CX', 'C01C', 'C01', 'C']",False,1,1
1822,C01CX08,Levosimendan,"['C01CX08', 'C01CX', 'C01C', 'C01', 'C']",False,1,1
1823,C01CX07,Xamoterol,"['C01CX07', 'C01CX', 'C01C', 'C01', 'C']",False,1,1
1824,C01CX06,Angiotensinamide,"['C01CX06', 'C01CX', 'C01C', 'C01', 'C']",False,1,1
1825,C01CE,Phosphodiesterase inhibitors,"['C01CE', 'C01C', 'C01', 'C']",False,5,5
1826,C01CE04,Bucladesine,"['C01CE04', 'C01CE', 'C01C', 'C01', 'C']",False,1,1
1827,C01CE03,Enoximone,"['C01CE03', 'C01CE', 'C01C', 'C01', 'C']",False,1,1
1828,C01CE02,Milrinone,"['C01CE02', 'C01CE', 'C01C', 'C01', 'C']",False,1,1
1829,C01CE01,Amrinone,"['C01CE01', 'C01CE', 'C01C', 'C01', 'C']",False,1,1
1830,C01CA,Adrenergic and dopaminergic agents,"['C01CA', 'C01C', 'C01', 'C']",False,30,30
1831,C01CA28,Centhaquine,"['C01CA28', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1832,C01CA51,"Etilefrine, combinations","['C01CA51', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1833,C01CA30,Combinations,"['C01CA30', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1834,C01CA27,Droxidopa,"['C01CA27', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1835,C01CA26,Ephedrine,"['C01CA26', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1836,C01CA25,Amezinium metilsulfate,"['C01CA25', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1837,C01CA24,Epinephrine,"['C01CA24', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1838,C01CA23,Theodrenaline,"['C01CA23', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1839,C01CA22,Arbutamine,"['C01CA22', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1840,C01CA21,Cafedrine,"['C01CA21', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1841,C01CA19,Fenoldopam,"['C01CA19', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1842,C01CA18,Octopamine,"['C01CA18', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1843,C01CA17,Midodrine,"['C01CA17', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1844,C01CA16,Ibopamine,"['C01CA16', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1845,C01CA15,Gepefrine,"['C01CA15', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1846,C01CA14,Dopexamine,"['C01CA14', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1847,C01CA13,Prenalterol,"['C01CA13', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1848,C01CA12,Dimetofrine,"['C01CA12', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1849,C01CA11,Mephentermine,"['C01CA11', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1850,C01CA10,Methoxamine,"['C01CA10', 'C01CA', 'C01C', 'C01', 'C']",True,1,1
1851,C01CA09,Metaraminol,"['C01CA09', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1852,C01CA08,Oxedrine,"['C01CA08', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1853,C01CA07,Dobutamine,"['C01CA07', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1854,C01CA06,Phenylephrine,"['C01CA06', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1855,C01CA05,Norfenefrine,"['C01CA05', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1856,C01CA04,Dopamine,"['C01CA04', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1857,C01CA03,Norepinephrine,"['C01CA03', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1858,C01CA02,Isoprenaline,"['C01CA02', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1859,C01CA01,Etilefrine,"['C01CA01', 'C01CA', 'C01C', 'C01', 'C']",False,1,1
1860,C01B,"Antiarrhythmics, class i and iii","['C01B', 'C01', 'C']",False,35,35
1861,C01BG,"Other antiarrhythmics, class i and iii","['C01BG', 'C01B', 'C01', 'C']",False,4,4
1862,C01BG11,Vernakalant,"['C01BG11', 'C01BG', 'C01B', 'C01', 'C']",False,1,1
1863,C01BG07,Cibenzoline,"['C01BG07', 'C01BG', 'C01B', 'C01', 'C']",False,1,1
1864,C01BG01,Moracizine,"['C01BG01', 'C01BG', 'C01B', 'C01', 'C']",False,1,1
1865,C01BD,"Antiarrhythmics, class iii","['C01BD', 'C01B', 'C01', 'C']",False,8,8
1866,C01BD07,Dronedarone,"['C01BD07', 'C01BD', 'C01B', 'C01', 'C']",False,1,1
1867,C01BD06,Tedisamil,"['C01BD06', 'C01BD', 'C01B', 'C01', 'C']",False,1,1
1868,C01BD05,Ibutilide,"['C01BD05', 'C01BD', 'C01B', 'C01', 'C']",False,1,1
1869,C01BD04,Dofetilide,"['C01BD04', 'C01BD', 'C01B', 'C01', 'C']",False,1,1
1870,C01BD03,Bunaftine,"['C01BD03', 'C01BD', 'C01B', 'C01', 'C']",False,1,1
1871,C01BD02,Bretylium tosilate,"['C01BD02', 'C01BD', 'C01B', 'C01', 'C']",False,1,1
1872,C01BD01,Amiodarone,"['C01BD01', 'C01BD', 'C01B', 'C01', 'C']",False,1,1
1873,C01BC,"Antiarrhythmics, class ic","['C01BC', 'C01B', 'C01', 'C']",False,6,6
1874,C01BC09,Ethacizine,"['C01BC09', 'C01BC', 'C01B', 'C01', 'C']",False,1,1
1875,C01BC08,Encainide,"['C01BC08', 'C01BC', 'C01B', 'C01', 'C']",False,1,1
1876,C01BC07,Lorcainide,"['C01BC07', 'C01BC', 'C01B', 'C01', 'C']",False,1,1
1877,C01BC04,Flecainide,"['C01BC04', 'C01BC', 'C01B', 'C01', 'C']",False,1,1
1878,C01BC03,Propafenone,"['C01BC03', 'C01BC', 'C01B', 'C01', 'C']",False,1,1
1879,C01BB,"Antiarrhythmics, class ib","['C01BB', 'C01B', 'C01', 'C']",False,5,5
1880,C01BB04,Aprindine,"['C01BB04', 'C01BB', 'C01B', 'C01', 'C']",False,1,1
1881,C01BB03,Tocainide,"['C01BB03', 'C01BB', 'C01B', 'C01', 'C']",False,1,1
1882,C01BB02,Mexiletine,"['C01BB02', 'C01BB', 'C01B', 'C01', 'C']",False,1,1
1883,C01BB01,Lidocaine,"['C01BB01', 'C01BB', 'C01B', 'C01', 'C']",False,1,1
1884,C01BA,"Antiarrhythmics, class ia","['C01BA', 'C01B', 'C01', 'C']",False,11,11
1885,C01BA13,Hydroquinidine,"['C01BA13', 'C01BA', 'C01B', 'C01', 'C']",False,1,1
1886,C01BA71,"Quinidine, combinations with psycholeptics","['C01BA71', 'C01BA', 'C01B', 'C01', 'C']",False,1,1
1887,C01BA51,"Quinidine, combinations excl. psycholeptics","['C01BA51', 'C01BA', 'C01B', 'C01', 'C']",False,1,1
1888,C01BA12,Lorajmine,"['C01BA12', 'C01BA', 'C01B', 'C01', 'C']",False,1,1
1889,C01BA08,Prajmaline,"['C01BA08', 'C01BA', 'C01B', 'C01', 'C']",False,1,1
1890,C01BA05,Ajmaline,"['C01BA05', 'C01BA', 'C01B', 'C01', 'C']",False,1,1
1891,C01BA04,Sparteine,"['C01BA04', 'C01BA', 'C01B', 'C01', 'C']",False,1,1
1892,C01BA03,Disopyramide,"['C01BA03', 'C01BA', 'C01B', 'C01', 'C']",False,1,1
1893,C01BA02,Procainamide,"['C01BA02', 'C01BA', 'C01B', 'C01', 'C']",False,1,1
1894,C01BA01,Quinidine,"['C01BA01', 'C01BA', 'C01B', 'C01', 'C']",False,1,1
1895,C01A,Cardiac glycosides,"['C01A', 'C01', 'C']",False,20,20
1896,C01AX,Other cardiac glycosides,"['C01AX', 'C01A', 'C01', 'C']",False,2,2
1897,C01AX02,Peruvoside,"['C01AX02', 'C01AX', 'C01A', 'C01', 'C']",False,1,1
1898,C01AC,Strophanthus glycosides,"['C01AC', 'C01A', 'C01', 'C']",False,3,3
1899,C01AC03,Cymarin,"['C01AC03', 'C01AC', 'C01A', 'C01', 'C']",False,1,1
1900,C01AC01,G-strophanthin,"['C01AC01', 'C01AC', 'C01A', 'C01', 'C']",False,1,1
1901,C01AB,Scilla glycosides,"['C01AB', 'C01A', 'C01', 'C']",False,3,3
1902,C01AB51,"Proscillaridin, combinations","['C01AB51', 'C01AB', 'C01A', 'C01', 'C']",False,1,1
1903,C01AB01,Proscillaridin,"['C01AB01', 'C01AB', 'C01A', 'C01', 'C']",False,1,1
1904,C01AA,Digitalis glycosides,"['C01AA', 'C01A', 'C01', 'C']",False,11,11
1905,C01AA52,"Acetyldigoxin, combinations","['C01AA52', 'C01AA', 'C01A', 'C01', 'C']",False,1,1
1906,C01AA09,Gitoformate,"['C01AA09', 'C01AA', 'C01A', 'C01', 'C']",False,1,1
1907,C01AA08,Metildigoxin,"['C01AA08', 'C01AA', 'C01A', 'C01', 'C']",False,1,1
1908,C01AA07,Deslanoside,"['C01AA07', 'C01AA', 'C01A', 'C01', 'C']",False,1,1
1909,C01AA06,Lanatoside c,"['C01AA06', 'C01AA', 'C01A', 'C01', 'C']",False,1,1
1910,C01AA05,Digoxin,"['C01AA05', 'C01AA', 'C01A', 'C01', 'C']",False,1,1
1911,C01AA04,Digitoxin,"['C01AA04', 'C01AA', 'C01A', 'C01', 'C']",False,1,1
1912,C01AA03,Digitalis leaves,"['C01AA03', 'C01AA', 'C01A', 'C01', 'C']",False,1,1
1913,C01AA02,Acetyldigoxin,"['C01AA02', 'C01AA', 'C01A', 'C01', 'C']",False,1,1
1914,C01AA01,Acetyldigitoxin,"['C01AA01', 'C01AA', 'C01A', 'C01', 'C']",False,1,1
1915,D,Dermatologicals,['D'],False,1311,1311
1916,D11,Other dermatological preparations,"['D11', 'D']",False,63,63
1917,D11A,Other dermatological preparations,"['D11A', 'D11', 'D']",False,51,51
1918,D11AX,Other dermatologicals,"['D11AX', 'D11A', 'D11', 'D']",False,24,24
1919,D11AX27,Oxymetazoline,"['D11AX27', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1920,D11AX26,Caffeine,"['D11AX26', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1921,D11AX25,Hydrogen peroxide,"['D11AX25', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1922,D11AX24,Deoxycholic acid,"['D11AX24', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1923,D11AX23,Aminobenzoate potassium,"['D11AX23', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1924,D11AX57,"Collagen, combinations","['D11AX57', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1925,D11AX52,"Gamolenic acid, combinations","['D11AX52', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1926,D11AX22,Ivermectin,"['D11AX22', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1927,D11AX21,Brimonidine,"['D11AX21', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1928,D11AX18,Diclofenac,"['D11AX18', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1929,D11AX16,Eflornithine,"['D11AX16', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1930,D11AX13,Monobenzone,"['D11AX13', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1931,D11AX12,Pyrithione zinc,"['D11AX12', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1932,D11AX11,Hydroquinone,"['D11AX11', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1933,D11AX10,Finasteride,"['D11AX10', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1934,D11AX09,Oxaceprol,"['D11AX09', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1935,D11AX08,Tiratricol,"['D11AX08', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1936,D11AX06,Mequinol,"['D11AX06', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1937,D11AX05,Magnesium sulfate,"['D11AX05', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1938,D11AX04,Lithium succinate,"['D11AX04', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1939,D11AX03,Calcium gluconate,"['D11AX03', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1940,D11AX02,Gamolenic acid,"['D11AX02', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
1941,D11AX01,Minoxidil,"['D11AX01', 'D11AX', 'D11A', 'D11', 'D']",False,1,1
